"","Division","Colour","Alpha","Favourite","Prob"
"1","1","#FF0000A2",0.63609022556391,"ALP",0.818045112781955
"2","2","#FF0000BB",0.731547139794543,"ALP",0.865773569897271
"3","3","#FF000000",0,"ALP",0.466482559673533
"4","4","#FF000046",0.274177615390106,"ALP",0.637088807695053
"5","5","#0000FF84",0.517186022624465,"Liberal/National Party",0.758593011312233
"6","6","#0000FFB7",0.716155751950597,"Liberal/National Party",0.858077875975298
"7","7","#FF00009D",0.616392684618473,"ALP",0.808196342309237
"8","8","#0000FFB6",0.714746822675005,"Liberal/National Party",0.857373411337502
"9","9","#0000FFBD",0.74154033870919,"Liberal/National Party",0.870770169354595
"10","10","#FF0000A2",0.637249273053915,"ALP",0.818624636526957
"11","11","#FF00009F",0.621628123778306,"ALP",0.810814061889153
"12","12","#0000FFBA",0.729884870030332,"Liberal/National Party",0.864942435015166
"13","13","#0000FFBB",0.734246072598228,"Liberal/National Party",0.867123036299114
"14","14","#FF0000AD",0.67986561075114,"ALP",0.83993280537557
"15","15","#0000FF56",0.33920161793603,"Liberal/National Party",0.669600808968015
"16","16","#FF000011",0.0651728617292313,"ALP",0.532586430864616
"17","17","#0000FFB3",0.700311723816033,"Liberal/National Party",0.850155861908016
"18","18","#FF00008F",0.55998640534723,"ALP",0.779993202673615
"19","19","#0000FF8C",0.550151975683891,"Liberal/National Party",0.775075987841945
"20","20","#FF0000A3",0.638082955333442,"ALP",0.819041477666721
"21","21","#0000FF5A",0.354477577531115,"Liberal/National Party",0.677238788765558
"22","22","#0000FFA9",0.662083715245952,"Liberal/National Party",0.831041857622976
"23","23","#0000FFB9",0.726218178688091,"Liberal/National Party",0.863109089344046
"24","24","#FF0000A9",0.661036543442093,"ALP",0.830518271721047
"25","25","#FF000058",0.346646577803109,"ALP",0.673323288901554
"26","26","#0000FF38",0.219664077677244,"Liberal/National Party",0.609832038838622
"27","27","#0000FFB5",0.710175466783665,"Liberal/National Party",0.855087733391833
"28","28","#0000FF96",0.588785046728972,"Liberal/National Party",0.794392523364486
"29","29","#0000FFB6",0.714746822675005,"Liberal/National Party",0.857373411337502
"30","30","#0000FF78",0.469791921111889,"Liberal/National Party",0.734895960555944
"31","31","#FF0000A0",0.626845161835574,"ALP",0.813422580917787
"32","32","#0000FFBE",0.743669991386849,"Liberal/National Party",0.871834995693424
"33","33","#0000FFC2",0.762736524999547,"Liberal/National Party",0.881368262499773
"34","34","#FF00006F",0.435406698564593,"ALP",0.717703349282297
"35","35","#0000FFB6",0.714746822675005,"Liberal/National Party",0.857373411337502
"36","36","#FF000026",0.149257898678422,"ALP",0.574628949339211
"37","37","#0000FFB0",0.689344292267126,"Liberal/National Party",0.844672146133563
"38","38","#FF000026",0.147778160523596,"ALP",0.573889080261798
"39","39","#0000FFB5",0.709004141282831,"Liberal/National Party",0.854502070641415
"40","40","#FF000000",0,"ALP",0.473143033853607
"41","41","#FF000043",0.262931798924074,"ALP",0.631465899462037
"42","42","#0000FFA5",0.64731367517602,"National Party",0.82365683758801
"43","43","#0000FF04",0.0175277843461812,"Liberal/National Party",0.508763892173091
"44","44","#FF0000AC",0.67440803278102,"ALP",0.83720401639051
"45","45","#FF0000B0",0.689061101927539,"ALP",0.844530550963769
"46","46","#FF000094",0.580939112932259,"ALP",0.790469556466129
"47","47","#0000FFB9",0.726472579553148,"Liberal/National Party",0.863236289776574
"48","48","#FF0000A4",0.641338084739464,"ALP",0.820669042369732
"49","49","#0000FFB9",0.726472579553148,"Liberal/National Party",0.863236289776574
"50","50","#FF00006E",0.433048112116557,"ALP",0.716524056058279
"51","51","#FF00000C",0.0467262954951086,"ALP",0.523363147747554
"52","52","#0000FF30",0.189584408011304,"Liberal/National Party incl. Country Liberals (NT)",0.594792204005652
"53","53","#FF00007C",0.487948322279428,"ALP",0.743974161139714
"54","54","#0000FF48",0.283561688417353,"Liberal National Party",0.641780844208676
"55","55","#0000FF93",0.576319543509273,"Liberal National Party",0.788159771754636
"56","56","#FF000002",0.00691501656522076,"ALP",0.50345750828261
"57","57","#FF000065",0.39662668537707,"ALP",0.698313342688535
